"Wavelength, µm","n","k"
0.4047,2.759242927358
0.4507,2.7157748882932
0.4966,2.6853623386608
0.5426,2.6630599182922
0.5885,2.6462266443041
0.6345,2.633118350283
0.6804,2.6227261955054
0.7264,2.6142927843389
0.7723,2.6073657287758
0.8183,2.6015674003646
0.8642,2.5966716494932
0.9102,2.5924703955002
0.9561,2.5888414323403
1.002,2.5856674246804
1.048,2.5828589959147
1.094,2.5803572056003
1.14,2.5781092026512
1.186,2.5760724154052
1.232,2.5742122146598
1.278,2.5725001765841
1.324,2.5709127752484
1.37,2.5694303871645
1.416,2.5680365253387
1.462,2.5667172441533
1.508,2.5654606727838
1.554,2.5642566463101
1.599,2.5631212236285
1.645,2.5619964901631
1.691,2.5609015140381
1.737,2.5598305172307
1.783,2.5587784274648
1.829,2.5577407732641
1.875,2.5567135970959
1.921,2.5556933831112
1.967,2.5546769967268
2.013,2.5536616338661
2.059,2.5526447781199
2.105,2.5516241644305
2.151,2.5505977481751
2.197,2.5495636787366
2.243,2.5485202768221
2.289,2.5474660149202
2.335,2.5463995004016
2.381,2.5453194608512
2.427,2.5442247312918
2.473,2.5431142430176
2.519,2.541987013802
2.564,2.5408672214523
2.61,2.5397042776615
2.656,2.5385221000032
2.702,2.5373199742557
2.748,2.5360972385314
2.794,2.5348532785094
2.84,2.5335875231681
2.886,2.5322994409523
2.932,2.5309885363239
2.978,2.5296543466494
3.024,2.5282964393847
3.07,2.5269144095225
3.116,2.5255078772747
3.162,2.5240764859609
3.208,2.5226199000833
3.254,2.5211378035677
3.3,2.5196298981516
3.346,2.5180959019075
3.392,2.5165355478856
3.438,2.5149485828649
3.484,2.5133347662029
3.53,2.5116938687739
3.575,2.5100622288989
3.621,2.5083671239623
3.667,2.5066443148004
3.713,2.5048936090848
3.759,2.5031148217884
3.805,2.501307774513
3.851,2.4994722948628
3.897,2.4976082158618
3.943,2.4957153754114
3.989,2.4937936157831
4.035,2.4918427831465
4.081,2.4898627271276
4.127,2.4878533003957
4.173,2.4858143582776
4.219,2.4837457583952
4.265,2.4816473603268
4.311,2.4795190252893
4.357,2.4773606158391
4.403,2.4751719955919
4.449,2.4729530289593
4.495,2.4707035808998
4.54,2.4684734097928
4.586,2.4661632647165
4.632,2.4638222370329
4.678,2.4614501916891
4.724,2.4590469931388
4.77,2.4566125051656
4.816,2.4541465907164
4.862,2.4516491117421
4.908,2.4491199290479
4.954,2.4465589021488
5,2.4439658891339
