"Wavelength, µm","n","k"
1.23,1.17,4.92
1.55,0.95,7.28
2.14,1.01,10.65
2.68,1.26,13.3
3.2,1.86,16.6
4,2.58,21.3
5,3.77,26.2
6,5.8,31.6
7,7.6,36.1
8,9.05,40.7
10,15.3,47.6
